number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
243,prudencio,2014-10-11T11:16:00.000+08,10/11/14,yes,male,no,49,head,married,#N/A,Core,Elementary,male,No,2,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,0.75,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,owned,yes,owned,#N/A,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0.768,No,#N/A,#N/A,6,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,yes,6 to 20,well,handpumped,6 to 20,yes,11.15252964,124.8592279,Alang Alang,PH083702000,Astorga,PH083702002,104.5999985,5,yes,own_toilet,yes
245,alburo,2014-10-11T09:47:00.000+08,10/11/14,yes,male,no,38,head,married,#N/A,SRA,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,owned,yes,owned,#N/A,6,to_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0.004,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,3,low,shared_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,More than 20,yes,11.1698012,124.8857333,Alang Alang,PH083702000,Aslum,PH083702001,105.8000031,5,yes,shared_toilet,yes
246,orion,2014-10-11T13:46:00.000+08,10/11/14,yes,male,no,30,head,living_together,#N/A,SRA,High School,male,Yes,0,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,driver,1,1,No Change,yes,No,No,More Assets,Yes,new_house,wood,#N/A,No,others,#N/A,owned,yes_oral,8,to_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,6,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,dontknow,own_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,without,11.21736382,124.8458896,Alang Alang,PH083702000,Hubang,PH083702024,111.0999985,5,yes,own_toilet,yes
247,alburo,2014-10-11T10:50:00.000+08,10/11/14,yes,male,no,36,head,living_together,#N/A,SRA,Elementary,male,No,1,"<2,500","<2,500",Equals,No,Yes,1,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,6,to_standard,to_standard,under_standard,under_standard,under_standard,SRA,0.07,No,#N/A,#N/A,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,yes,11.16754856,124.8843589,Alang Alang,PH083702000,Aslum,PH083702001,107.8000031,5,yes,own_toilet,yes
248,alburo,2014-10-11T11:29:00.000+08,10/11/14,yes,male,no,37,head,living_together,#N/A,SRA,High School,male,Yes,1,"5,001 - 10,000","2,500 - 5,000",Less than,Yes,No,#N/A,None,0,0,Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0.0116,No,#N/A,2012 or before,5,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,high,shared_toilet,out,flush_toilet,yes,6 to 20,well,handpumped,0 to 5,without,11.15790484,124.8447329,Alang Alang,PH083702000,Penalosa,PH083702033,109.3000031,5,yes,shared_toilet,yes
249,quimbo,2014-10-11T13:12:00.000+08,10/11/14,yes,male,no,26,head,living_together,Yes,Core,High School,male,No,1,"<2,500","2,500 - 5,000",Greater,Yes,No,#N/A,private_employ,1,1,Change,no,No,No,Less Assets,Yes,repaired_house,light,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,5,lightly_damaged,significantly_damaged,under_standard,under_standard,no_toilet,Core,0,No,#N/A,2012 or before,3,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,6 to 20,yes,11.15394797,124.8581176,Alang Alang,PH083702000,Astorga,PH083702002,114.1999969,5,without,#N/A,without
250,orion,2014-10-11T14:44:00.000+08,10/11/14,yes,male,no,36,head,living_together,#N/A,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,driver,2,2,No Change,no,Yes,No,Equal Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,others,yes_oral,2,significantly_damaged,significantly_damaged,under_standard,none,no_toilet,Core,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,dontknow,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.23740889,124.8441396,Alang Alang,PH083702000,Hubang,PH083702024,105,5,without,#N/A,without
251,prudencio,2014-10-11T13:55:00.000+08,10/11/14,yes,male,no,44,head,living_together,#N/A,Core,High School,male,No,3,"<2,500","<2,500",Equals,Yes,No,0.25,agri_labor,2,2,No Change,no,No,No,Less Assets,Yes,new_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,to_standard,Core,0,No,#N/A,2012 or before,8,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,low,own_toilet,out,flush_toilet,yes,More than 20,handpumped,handpumped,More than 20,yes,11.23395526,124.8421932,Alang Alang,PH083702000,Hubang,PH083702024,110.1999969,5,yes,own_toilet,yes
252,balberia,2014-10-11T10:57:00.000+08,10/11/14,yes,female,yes,59,head,widowed,#N/A,SRA,Primary,female,Yes,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,owned,yes,owned,#N/A,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0.005,No,#N/A,#N/A,2,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,yes,11.22851952,124.8387824,Alang Alang,PH083702000,Hubang,PH083702024,105,5,yes,own_toilet,yes
253,magabiling,2014-10-11T13:11:00.000+08,10/11/14,yes,male,no,60,head,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,0.05,farming,1,1,No Change,no,No,No,More Assets,Yes,repaired_house,wood,other,No,rented,#N/A,owned,yes_oral,3,lightly_damaged,lightly_damaged,lightly_damaged,none,significantly_damaged,SRA,0,No,#N/A,2013,2,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2,dontknow,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,without,11.16788945,124.853047,Alang Alang,PH083702000,Penalosa,PH083702033,113.3000031,5,without,#N/A,without
254,magabiling,2014-10-11T14:31:00.000+08,10/11/14,yes,male,no,60,head,living_together,#N/A,SRA,High School,male,No,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,govt_employ,1,1,No Change,no,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,owned,yes,owned,#N/A,5,lightly_damaged,lightly_damaged,under_standard,significantly_damaged,lightly_damaged,SRA,0.005,No,#N/A,2012 or before,2,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,shared_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,More than 20,yes,11.15460077,124.8588886,Alang Alang,PH083702000,Astorga,PH083702002,116.5,5,yes,shared_toilet,yes
255,ergina,2014-10-11T10:09:00.000+08,10/11/14,yes,female,yes,114,grandchild,married,#N/A,Core,High School,female,No,0,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,agri_labor,1,1,Change,no,No,No,Less Assets,No,#N/A,#N/A,#N/A,No,owned,yes,owned,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,3,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,without,11.16291522,124.8663469,Alang Alang,PH083702000,Astorga,PH083702002,107,5,without,#N/A,without
256,alburo,2014-10-11T10:18:00.000+08,10/11/14,yes,male,no,62,head,married,Yes,Core,None,male,No,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,2,2,No Change,no,No,No,Equal Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Owned by family member,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,6 to 20,well,handpumped,More than 20,without,11.15821292,124.8454717,Alang Alang,PH083702000,Penalosa,PH083702033,104.8000031,5,without,#N/A,without
257,pono,2014-10-11T14:21:00.000+08,10/11/14,yes,female,yes,65,head,widowed,#N/A,Core,Elementary,female,Yes,2,"<2,500","<2,500",Equals,No,No,0.25,remittance,1,2,No Change,no,No,No,More Assets,Yes,repaired_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,6,under_standard,significantly_damaged,under_standard,under_standard,significantly_damaged,Core,0,No,#N/A,2012 or before,4,"<2,500",Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,4,high,own_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,without,11.19784805,124.8101727,Alang Alang,PH083702000,Santiago,PH083702043,104.3000031,5,yes,own_toilet,yes
258,calucer,2014-10-28T14:49:00.000+08,10/11/14,yes,male,no,63,spouse,married,#N/A,SRA,Elementary,male,Yes,2,"<2,500","<2,500",Equals,Yes,Yes,#N/A,trade,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,share,no,8,under_standard,lightly_damaged,lightly_damaged,under_standard,under_standard,SRA,0,No,no,#N/A,6,"<2,500",Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,4,high,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,6 to 20,yes,11.16136637,124.866031,Alang Alang,PH083702000,Astorga,PH083702002,101.8000031,5,yes,shared_toilet,yes
259,benaso,2014-10-11T14:06:00.000+08,10/11/14,yes,male,no,47,spouse,married,#N/A,Core,Elementary,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,1,1,Change,yes,No,No,Less Assets,Yes,repaired_house,light,#N/A,No,rented,#N/A,owned,yes_oral,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,Core,0,No,#N/A,2012 or before,7,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,yes,11.23062752,124.8493676,Alang Alang,PH083702000,Hubang,PH083702024,95.80000305,5,yes,own_toilet,yes
260,ergina,2014-10-11T15:40:00.000+08,10/11/14,yes,female,yes,45,head,married,#N/A,SRA,High School,female,Yes,2,"2,500 - 5,000","<2,500",Less than,Yes,No,0.8,govt_employ,2,2,Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,8,to_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,6,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,own_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,without,11.15470252,124.8622395,Alang Alang,PH083702000,Astorga,PH083702002,109.0999985,5,yes,own_toilet,yes
261,alburo,2014-10-11T13:41:00.000+08,10/11/14,yes,male,no,41,spouse,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,others,#N/A,owned,no,6,to_standard,under_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,own_toilet,out,flush_toilet,no,0 to 5,handpumped,handpumped,0 to 5,yes,11.22809903,124.8474053,Alang Alang,PH083702000,Hubang,PH083702024,105.3000031,5,yes,own_toilet,yes
262,zartiga,2014-10-11T10:47:00.000+08,10/11/14,yes,male,no,52,head,living_together,#N/A,Core,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Less Assets,Yes,repaired_house,makeshift,#N/A,No,Owned by family member,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,Core,0,No,#N/A,#N/A,6,"<2,500",No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,well,0 to 5,without,11.16788284,124.8894414,Alang Alang,PH083702000,Aslum,PH083702001,116.0999985,5,without,#N/A,without
263,pono,2014-10-11T15:26:00.000+08,10/11/14,yes,male,no,26,spouse,married,#N/A,SRA,High School,male,Yes,0,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,2,2,No Change,yes,No,Yes,Equal Assets,Yes,new_house,wood,#N/A,No,Owned by family member,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2013,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,low,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,without,11.21989495,124.8453402,Alang Alang,PH083702000,Hubang,PH083702024,113,5,yes,shared_toilet,yes
264,ergina,2014-10-11T10:58:00.000+08,10/11/14,yes,male,no,54,head,single,#N/A,Neither,Elementary,male,Yes,1,"<2,500","<2,500",Equals,Yes,Yes,2,farming,1,1,No Change,yes,No,No,Less Assets,Yes,repaired_house,concrete,livelihood,No,Tenant/Relative of Tenant,#N/A,share,yes_oral,0,to_standard,to_standard,to_standard,to_standard,to_standard,Neither,0,No,yes_oral,2012 or before,2,"<2,500",No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,3,low,shared_toilet,in,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.17020157,124.8539958,Alang Alang,PH083702000,Penalosa,PH083702033,110.5999985,5,yes,shared_toilet,yes
265,mabingnay,2014-10-11T09:29:00.000+08,10/11/14,yes,male,no,35,spouse,married,#N/A,SRA,Primary,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,1,agri_labor,1,1,No Change,yes,No,No,More Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_written,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2013,4,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,0 to 5,yes,11.21728673,124.8478611,Alang Alang,PH083702000,Hubang,PH083702024,114.5,5,yes,own_toilet,yes
266,rader,2014-10-11T14:02:00.000+08,10/11/14,yes,male,no,36,head,living_together,#N/A,Core,Primary,male,No,2,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,1,1,Change,no,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,no,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,6 to 20,well,well,6 to 20,yes,11.15524722,124.8603698,Alang Alang,PH083702000,Astorga,PH083702002,113.1999969,5,without,#N/A,without
267,rader,2014-10-11T13:07:00.000+08,10/11/14,yes,male,no,43,head,married,Yes,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,1,1,Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,no,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,6 to 20,yes,11.15381889,124.8602057,Alang Alang,PH083702000,Astorga,PH083702002,100.8000031,5,without,#N/A,without
268,rader,2014-10-11T13:34:00.000+08,10/11/14,yes,male,no,64,spouse,married,#N/A,Core,Elementary,male,No,2,"<2,500","<2,500",Equals,No,No,#N/A,farming,1,1,Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,no,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,yes,11.235214,124.8433113,Alang Alang,PH083702000,Hubang,PH083702024,107.3000031,5,yes,own_toilet,yes
269,gayas,2014-10-11T09:27:00.000+08,10/11/14,yes,male,no,26,head,living_together,#N/A,SRA,High School,male,Yes,1," >15,000","<2,500",Less than,No,No,#N/A,agri_labor,1,1,Change,yes,No,No,Less Assets,Yes,repaired_house,concrete,house_destroyed,No,Owned by family member,#N/A,share,yes_oral,0,to_standard,to_standard,to_standard,to_standard,no_toilet,SRA,0,No,yes_oral,2014,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,shared_toilet,in,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,without,11.21824352,124.8447547,Alang Alang,PH083702000,Hubang,PH083702024,118.0999985,5,yes,shared_toilet,yes
270,quimbo,2014-10-11T13:32:00.000+08,10/11/14,yes,male,no,34,head,living_together,#N/A,Core,Primary,male,No,#N/A,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,#N/A,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,6,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,6 to 20,yes,11.16919228,124.8849647,Alang Alang,PH083702000,Aslum,PH083702001,118.0999985,5,yes,own_toilet,yes
271,balagapo,2014-10-11T13:12:00.000+08,10/11/14,yes,female,yes,59,head,widowed,#N/A,SRA,Elementary,female,Yes,#N/A,"<2,500","<2,500",Equals,Yes,Yes,1,trade,2,2,No Change,yes,Yes,Yes,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,4,to_standard,under_standard,to_standard,under_standard,to_standard,SRA,1,No,#N/A,#N/A,2,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,3,low,own_toilet,in,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.16830104,124.8853692,Alang Alang,PH083702000,Aslum,PH083702001,103.3000031,5,yes,own_toilet,yes
272,zartiga,2014-10-11T14:33:00.000+08,10/11/14,yes,male,no,39,spouse,married,Yes,Core,Elementary,male,No,2,"<2,500","2,500 - 5,000",Greater,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,More Assets,Yes,new_house,light,#N/A,No,Owned by family member,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2013,7,"2,500 - 5,000",No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,4,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,yes,11.216762,124.8457733,Alang Alang,PH083702000,Hubang,PH083702024,115.5,5,yes,own_toilet,yes
273,mabingnay,2014-10-11T13:05:00.000+08,10/11/14,yes,female,yes,26,head,widowed,Yes,Core,Primary,female,No,1,"<2,500","<2,500",Equals,No,No,#N/A,remittance,0,1,Change,no,No,No,Equal Assets,Yes,repaired_house,light,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,0 to 5,handpumped,handpumped,0 to 5,yes,11.15272103,124.8601131,Alang Alang,PH083702000,Astorga,PH083702002,116.3000031,5,yes,own_toilet,yes
274,marcha,2014-10-11T14:48:00.000+08,10/11/14,yes,male,no,27,spouse,living_together,#N/A,Core,Primary,male,No,2,"<2,500","<2,500",Equals,Yes,No,1,agri_labor,1,1,Change,yes,No,No,Less Assets,Yes,destroyed_no_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,shared_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,More than 20,yes,11.15494815,124.8607974,Alang Alang,PH083702000,Astorga,PH083702002,99.69999695,5,yes,shared_toilet,yes
275,abude,2014-10-11T10:58:00.000+08,10/11/14,yes,male,no,72,head,married,#N/A,SRA,High School,male,Yes,2,"2,500 - 5,000","<2,500",Less than,No,Yes,2,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,low,own_toilet,in,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.23318399,124.8413754,Alang Alang,PH083702000,Hubang,PH083702024,102.1999969,5,yes,own_toilet,yes
276,calucer,2014-10-11T11:16:00.000+08,10/11/14,yes,male,no,59,spouse,married,Yes,SRA,Primary,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,0.25,farming,2,2,No Change,yes,No,No,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,5,"<2,500",No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,4,high,#N/A,#N/A,#N/A,#N/A,More than 20,spring,spring,More than 20,yes,11.2241136,124.8410772,Alang Alang,PH083702000,Hubang,PH083702024,91.40000153,5,without,#N/A,without
277,calucer,2014-10-11T13:45:00.000+08,10/11/14,yes,male,no,58,child,widowed,Yes,Core,Elementary,male,No,2,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,1,1,Change,yes,No,No,More Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,share,no,0,significantly_damaged,significantly_damaged,significantly_damaged,significantly_damaged,significantly_damaged,Core,0,No,no,#N/A,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,yes,11.15435769,124.8582985,Alang Alang,PH083702000,Astorga,PH083702002,97.59999847,5,yes,own_toilet,yes
278,rader,2014-10-11T15:04:00.000+08,10/11/14,yes,male,no,28,spouse,married,#N/A,Core,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,#N/A,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,6 to 20,well,handpumped,More than 20,yes,11.16214387,124.8658107,Alang Alang,PH083702000,Astorga,PH083702002,119.5999985,5,without,#N/A,without
279,marcha,2014-10-11T10:23:00.000+08,10/11/14,yes,male,no,27,spouse,living_together,#N/A,SRA,Primary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Less Assets,Yes,repaired_house,wood,house_destroyed,No,Owned by family member,#N/A,share,yes_oral,7,under_standard,under_standard,under_standard,lightly_damaged,significantly_damaged,SRA,0,No,yes_oral,2013,2,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,yes,11.16273437,124.8662191,Alang Alang,PH083702000,Astorga,PH083702002,108.0999985,5,without,#N/A,without
280,ergina,2014-10-11T11:44:00.000+08,10/11/14,yes,female,yes,65,head,widowed,#N/A,Core,Primary,female,No,2,"<2,500","<2,500",Equals,Yes,No,1,agri_labor,2,2,Change,no,No,No,More Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2013,2,"<2,500",No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,4,low,shared_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,without,11.23111712,124.8436382,Alang Alang,PH083702000,Hubang,PH083702024,107.6999969,5,yes,shared_toilet,yes
281,balberia,2014-10-11T09:21:00.000+08,10/11/14,yes,male,no,30,head,married,#N/A,SRA,Elementary,male,Yes,3,"2,500 - 5,000","<2,500",Less than,Yes,No,1,trade,2,2,Change,no,Yes,Yes,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,others,#N/A,owned,no,6,to_standard,under_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,0 to 5,yes,11.16930961,124.8532057,Alang Alang,PH083702000,Penalosa,PH083702033,102.5,5,yes,own_toilet,yes
