number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
12,abude,2014-10-10T09:54:00.000+08,10/10/14,yes,male,no,49,spouse,married,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,2,2,Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,owned,yes,owned,#N/A,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0.0022,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,out,other_toilet,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.15462129,124.8592566,Alang Alang,PH083702000,Astorga,PH083702002,103.9000015,5,yes,own_toilet,yes
13,balberia,2014-10-10T10:07:00.000+08,10/10/14,yes,male,no,27,spouse,married,#N/A,SRA,Graduate,male,Yes,1,"<2,500","5,001 - 10,000",Greater,No,No,#N/A,private_employ,1,1,Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,Owned by family member,#N/A,owned,no,4,to_standard,under_standard,to_standard,under_standard,no_toilet,SRA,0,No,#N/A,2014,3,"5,001 - 10,000",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,low,shared_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,yes,11.16635768,124.8833921,Alang Alang,PH083702000,Aslum,PH083702001,111.0999985,5,yes,shared_toilet,yes
14,pono,2014-10-10T10:08:00.000+08,10/10/14,yes,male,no,36,spouse,married,#N/A,SRA,Graduate,male,Yes,0,"5,001 - 10,000","5,001 - 10,000",Equals,Yes,No,#N/A,private_employ,2,2,No Change,no,No,Yes,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,4,to_standard,to_standard,to_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,6,"5,001 - 10,000",No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,4,low,own_toilet,out,flush_toilet,no,0 to 5,handpumped,handpumped,6 to 20,without,11.22719195,124.8355645,Alang Alang,PH083702000,Hubang,PH083702024,104.3000031,5,yes,own_toilet,yes
15,brum,2014-10-10T10:15:00.000+08,10/10/14,yes,male,no,35,head,married,#N/A,Core,Graduate,male,Yes,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,2,2,No Change,no,No,No,More Assets,No,#N/A,#N/A,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,without,11.23242771,124.8419023,Alang Alang,PH083702000,Hubang,PH083702024,139,5,yes,own_toilet,yes
16,abude,2014-10-10T10:30:00.000+08,10/10/14,yes,female,yes,20,spouse,married,#N/A,SRA,Elementary,female,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,construction_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,others,#N/A,others,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,dontknow,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.16884689,124.8869394,Alang Alang,PH083702000,Aslum,PH083702001,111.5,5,without,#N/A,without
17,mabingnay,2014-10-10T10:30:00.000+08,10/10/14,yes,male,no,32,spouse,living_together,#N/A,Core,Primary,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,Yes,More Assets,Yes,repaired_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,own_toilet,out,pit_toilet,#N/A,0 to 5,handpumped,handpumped,0 to 5,yes,11.23365333,124.8417916,Alang Alang,PH083702000,Hubang,PH083702024,115.5999985,5,yes,own_toilet,yes
18,zartiga,2014-10-10T10:32:00.000+08,10/10/14,yes,male,no,42,spouse,married,#N/A,SRA,Graduate,male,Yes,3,"<2,500","<2,500",Equals,Yes,No,#N/A,self_employ,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,owned,no,owned,#N/A,4,to_standard,to_standard,under_standard,significantly_damaged,under_standard,SRA,0.05,No,#N/A,2014,8,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,low,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,More than 20,without,11.22524056,124.8423783,Alang Alang,PH083702000,Hubang,PH083702024,118.5999985,5,yes,own_toilet,yes
19,guillermo,2014-10-10T10:37:00.000+08,10/10/14,yes,male,no,42,head,living_together,#N/A,Core,High School,male,No,1,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,share,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,yes_oral,2014,7,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,yes,11.1734116,124.8869591,Alang Alang,PH083702000,Aslum,PH083702001,104.9000015,5,without,#N/A,without
20,olbiron,2014-10-10T10:38:00.000+08,10/10/14,yes,male,no,26,head,living_together,#N/A,SRA,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,#N/A,driver,1,1,No Change,yes,No,No,More Assets,Yes,repaired_house,wood,#N/A,No,Owned by family member,#N/A,owned,no,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,6 to 20,well,spring,6 to 20,yes,11.16847749,124.8851284,Alang Alang,PH083702000,Aslum,PH083702001,105.9000015,5,without,#N/A,without
21,benaso,2014-10-10T10:40:00.000+08,10/10/14,yes,male,no,79,head,married,#N/A,SRA,High School,male,Yes,4,"2,500 - 5,000","<2,500",Less than,No,No,16,farming,2,2,No Change,no,No,No,Less Assets,Yes,new_house,concrete,#N/A,No,owned,yes,owned,#N/A,2,to_standard,to_standard,to_standard,lightly_damaged,lightly_damaged,SRA,17.5,Yes,#N/A,2012 or before,2,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,high,own_toilet,in,flush_toilet,yes,0 to 5,well,spring,6 to 20,yes,11.16776715,124.8529741,Alang Alang,PH083702000,Penalosa,PH083702033,112,5,yes,own_toilet,yes
